sciname,lat,lon,source
Cryptonanus guahybae,-27.17,-53.92,Mamíferos do Rio Grande do Sul
Cryptonanus guahybae,-29.65,-50.78,Mamíferos do Rio Grande do Sul
Cryptonanus guahybae,-30.03,-51.27,Mamíferos do Rio Grande do Sul
Cryptonanus guahybae,-31.37,-51.97,Mamíferos do Rio Grande do Sul
Cryptonanus guahybae,-32.53,-52.55,Mamíferos do Rio Grande do Sul
Cryptonanus guahybae,-29.65,-50.78,"Gardner, Alfred L. 2007, Mammals of South America, Volume 1, Marsupials, Xenarthrans, Shrews, and Bats"
Cryptonanus guahybae,-30.10,-51.27,"Gardner, Alfred L. 2007, Mammals of South America, Volume 1, Marsupials, Xenarthrans, Shrews, and Bats"
Cryptonanus guahybae,-31.37,-51.97,"Gardner, Alfred L. 2007, Mammals of South America, Volume 1, Marsupials, Xenarthrans, Shrews, and Bats"
Ctenomys australis,-38.55,-58.74,"Mammals of South America, Volume 2, Rodentia"
Ctenomys australis,-38.66,-59.60,"Mammals of South America, Volume 2, Rodentia"
Ctenomys australis,-38.85,-60.08,"Mammals of South America, Volume 2, Rodentia"
Ctenomys australis,-38.88,-62.07,"Mammals of South America, Volume 2, Rodentia"
Ctenomys australis,-38.94,-60.51,"Mammals of South America, Volume 2, Rodentia"
Ctenomys australis,-38.99,-61.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-34.98,-67.69,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-35.72,-65.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-36.22,-65.44,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-36.40,-67.15,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-36.47,-64.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-36.93,-64.41,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-37.28,-64.83,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-37.75,-65.00,"Mammals of South America, Volume 2, Rodentia"
Ctenomys azarae,-38.12,-67.62,"Mammals of South America, Volume 2, Rodentia"
Ctenomys brasiliensis,-34.38,-55.24,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-27.52,-57.41,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-27.65,-57.53,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-27.94,-57.90,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-28.75,-58.96,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-30.01,-59.53,"Mammals of South America, Volume 2, Rodentia"
Ctenomys dorbignyi,-30.02,-58.29,"Mammals of South America, Volume 2, Rodentia"
